Trial,MSE,NRMSE,R2,Subject
1,80.91264994305986,0.3619363456588833,-0.7929298389666983,DP044_FC_D1.csv
2,4.113593484801408,0.30320584078260066,-1.0672263265072965,DP044_FC_D1.csv
3,1.7026309228126801,0.1396325195187756,0.45457716671875625,DP044_FC_D1.csv
4,2.4953123314878125,0.2581310142451807,-0.06090997419487132,DP044_FC_D1.csv
5,0.5340703069896292,0.1429288618938721,0.5685732173495455,DP044_FC_D1.csv
6,1.3425972269902238,0.23540177845545282,-0.015230787833113935,DP044_FC_D1.csv
1,77.47373463675689,0.5436576631051617,-6.291066285012648,DP045_D1_FC.csv
2,8.01480281578738,0.3375592157598636,-2.264844301530416,DP045_D1_FC.csv
3,0.5427552309205985,0.15133419676262871,0.4386868305944549,DP045_D1_FC.csv
4,10.75264205439634,0.3427525584314939,-4.182669937602523,DP045_D1_FC.csv
5,7.574659243431519,0.25948706728529186,-0.2344333685712472,DP045_D1_FC.csv
6,0.4330302418705262,0.1268647863839247,0.36242259800287224,DP045_D1_FC.csv
1,2.1382386833905396,0.24905493969193498,-0.8586031260913625,DP049_FC_D1.csv
2,0.23079024255627767,0.1476007587407376,0.4425785319071571,DP049_FC_D1.csv
3,0.7758545211336139,0.22696566010233052,-0.3894054943309202,DP049_FC_D1.csv
4,0.08502569910052159,0.12064752706944751,0.5076004925493214,DP049_FC_D1.csv
5,2.3692914294521574,0.40327238214622957,-6.626532506855138,DP049_FC_D1.csv
6,0.1248331440084501,0.08027323570744423,0.7701935004735951,DP049_FC_D1.csv
1,0.8506291373041583,0.1994828071931478,-0.5867546803609707,DP050_D1_FC.csv
2,0.37368556414661996,0.12709455025419744,0.529608749139077,DP050_D1_FC.csv
3,0.5167602543183836,0.1382391479453899,0.46853141784960195,DP050_D1_FC.csv
4,0.6848410069572546,0.11780590743346936,0.6564613527653482,DP050_D1_FC.csv
5,0.5228932226185883,0.13744581195607505,0.3456195908960109,DP050_D1_FC.csv
6,0.11338687829813296,0.05674880558446387,0.9017901721046426,DP050_D1_FC.csv
1,0.68041155298301,0.23078400875814897,-0.5582601860620982,DP051_D1_FC.csv
2,0.2478822266295997,0.15393393622771484,0.4210720220493104,DP051_D1_FC.csv
3,0.7324661772163028,0.24432348577863572,-1.0235622116141179,DP051_D1_FC.csv
4,0.5174409767285539,0.1856172000082947,-0.056167392598407195,DP051_D1_FC.csv
5,0.9095230459453985,0.21095268026690622,-0.25005426713776924,DP051_D1_FC.csv
6,0.4068629783279837,0.20466983260387617,-0.16151651451927163,DP051_D1_FC.csv
1,0.5972636550503712,0.08248437207654921,0.7475241217719235,DP097_D1_FC.csv
2,0.07472149603221052,0.06457088813124512,0.8866646906816427,DP097_D1_FC.csv
3,3.0668773451934177,0.21625661791607456,-0.08193030055777384,DP097_D1_FC.csv
4,0.533085069790738,0.1551989491018322,0.3878633335011926,DP097_D1_FC.csv
5,0.24266282483535748,0.12036790279415367,0.6299404832412518,DP097_D1_FC.csv
6,0.5895703540290053,0.2232204729099756,-0.43481003601644996,DP097_D1_FC.csv
1,5.509622937924337,0.2240155829645186,-0.24555921325785635,DP098_D1_FC.csv
2,0.9772421286663056,0.11996023865337771,0.7048990149270593,DP098_D1_FC.csv
3,0.26261264739010254,0.15019366729233405,0.4280073045237738,DP098_D1_FC.csv
4,3.1547961568291067,0.2591647293545046,-0.5750058459856011,DP098_D1_FC.csv
5,2.5358603627394323,0.29124958165233433,-1.5087307450526115,DP098_D1_FC.csv
6,0.7502026980474471,0.09370454627052473,0.8351900448409635,DP098_D1_FC.csv
