Trial,MSE,NRMSE,R2
1,3.848067988186865,0.09499259943009351,0.8178710807164937
2,3.04062269845191,0.10711920808388861,0.7678678839581965
3,3.0884889994724287,0.18043524047988724,0.25179189652417544
4,0.2526469386788542,0.07185806937844846,0.8551814379336051
5,5.921139013104635,0.2158866959033771,0.1447037262464348
6,18.753067255208286,0.2852285823402958,-0.42330398930331214
7,28.913815796641195,0.3202181963301674,-1.4622201593473472
8,15.776843847892625,0.4430473509947238,-1.7835048545822136
9,0.9332130094584098,0.0741717520530306,0.8485135825617249
10,1.805960737527452,0.13799768768683066,0.39427745840351813
11,1.083155166198743,0.14497759534635257,0.5469089939513032
12,0.8119786622540768,0.1328283759364377,0.6755408230017776
13,1.300117936591704,0.11056545312351491,0.5201169381921358
14,31.069790438622675,0.4633819565253921,-3.503304616143115
15,2.2759154765880596,0.18238797411927954,0.41213194322458513
16,2.9224792406452513,0.221429429780011,-0.651095470840525
17,4.566459544923912,0.27266074485221775,-0.6600559913959438
18,1.7712945989998448,0.11258428113844146,0.5264436146740823
19,2.9547359750546693,0.271952609566167,-0.7890335279311436
20,0.8451158526992132,0.1356495646927756,0.45750063093992344
21,5.393852052233722,0.35221632998039987,-2.952854291527502
22,0.09442449878044201,0.04385907135863983,0.9563801765633863
23,3.392278489796703,0.41267095598437714,-4.558195863105451
24,1.5869835614341852,0.2504614605592246,-0.266226274899237
25,1.5696145253833391,0.14921286291705754,0.2579435862444943
26,0.7885288344104772,0.09099748583796909,0.744326770772896
27,4.296659409804268,0.43874072826995075,-5.4024791868317035
