Trial,MSE,NRMSE,R2
1,6.234765922268735,0.13214218880529913,0.7467736199699738
2,1.1362809647356853,0.11779326983074286,0.7633027650935715
3,21.705265795690504,0.22737016001526636,0.11330032345703445
4,0.14912813136882253,0.06912000140242305,0.9017471459800722
5,4.374945178870598,0.26163505576187657,-0.9180684285839509
6,24.36904952384277,0.17631125230474806,0.5501838766881073
7,0.9815362004582794,0.21005214423457463,-0.4099180741763562
8,1.5255263348095875,0.2078787676735997,-0.04502034382474451
9,1.7041219862945283,0.16112296251322733,0.340354114610413
10,7.093652852184704,0.4728656049352456,-3.274507178664357
11,17.65346678534906,0.20957836924366624,0.20266185579073592
12,27.98553364890269,0.45673361175810456,-2.753749645761723
13,37.95519229602588,0.5854133168094239,-4.084756247211947
14,28.659847282072242,0.5105058547843238,-3.2181884567946675
15,5.450935934379852,0.31370704313573283,-1.4340335867531002
16,55.966805389843785,0.496239780317001,-3.9959127914282746
17,34.077151362308705,0.5786626983574007,-3.3610181908186902
18,40.08303633274437,0.3637937219708048,-2.249993274559307
19,17.192938020640963,0.3861973097492319,-2.499729583669756
20,65.445882656103,0.46126473658869105,-2.483871493570145
21,14.143007387833292,0.5664779686855921,-2.8866899761631326
22,8.667673496539189,0.4095685001673752,-2.4741953110670347
23,6.563101855604022,0.5153673344975853,-3.7330045437859507
24,4.278083897048693,0.23921701688919522,-0.07659028797749401
25,9.417972360120816,0.5594620636116548,-6.946864667661348
26,1.5645577127658818,0.2778151466334862,-1.2380109827790888
27,0.7802743555840246,0.1395855508819577,0.6097186988658558
