Time Coeff,Baseline,Gamma,Alpha
0.012338680000233422,-12.653135786223284,0.3367917763051754,1.0
0.002251300811139655,-1.52926615183225,0.6200705794389717,1.0
0.04783233677763973,-8.462868315233118,0.0032351573474496418,0.9082630908734457
-0.0006568662945045218,0.6840377199769678,0.3409245131533717,0.0
-0.002116965173618103,0.4236617825034739,0.3252938458265412,0.0
0.012763427212964286,-8.776101697005497,0.5755913320961061,1.0
0.001036024751208281,-0.17295815996922254,0.2589677641584021,0.09115050389576194
0.0009119584706947672,0.19927600851625712,0.3100538514060986,0.0
-0.003931700313067417,0.9598426619826425,0.37164993088642573,1.0
0.0016831458813777863,0.7972613962460493,0.35379744462915536,0.0
0.0067859708907873255,-4.699868360005598,0.8691915486721906,0.5061596983832646
0.002874251453460227,2.1493042286392225,0.45698878525425934,0.0
0.003725929939811375,2.0486516568506232,0.45032343757855986,0.0
0.002670557044583788,2.4586519074278295,0.48124967150775605,0.0
0.0014205224649458071,0.7666415798899175,0.34793538852917927,0.0
0.004632175979519288,2.3621497390325783,0.4736026691248577,0.0
0.004559098671899044,0.8880245795786545,0.3606080813091446,0.05640358216598924
0.005213414576665923,0.3640810017774464,0.3190813107473019,0.0
0.004344627919920918,0.4710407589884145,0.3286000304970986,0.3627253812599105
0.020589018813299952,0.23390031507846817,0.3326057585742475,1.0
0.003775988661426755,0.3666770407435382,0.31970745695009534,0.29912364587451695
0.0020834530215751235,0.6037908552089769,0.3374838392922247,0.0
0.0014194471302844817,1.0079216445639883,0.3669400510823022,0.0
0.021930169124133706,-8.442358777427783,0.05533486645561709,0.9472753564667254
0.0016137578068318,1.3108609585706357,0.391535306758628,0.0
0.0011047760845728028,-0.02784065259923576,0.28396279931573637,0.0
0.0014934524749851547,-0.0796146935167974,0.2881583583274456,0.7455888129360806
