Trial,MSE
1,6.234765922268735
2,1.1362809647356853
3,21.705265795690504
4,0.14912813136882253
5,4.374945178870598
6,24.36904952384277
7,0.9815362004582794
8,1.5255263348095875
9,1.7041219862945283
10,7.093652852184704
11,17.65346678534906
12,27.98553364890269
13,37.95519229602588
14,28.659847282072242
15,5.450935934379852
16,55.966805389843785
17,34.077151362308705
18,40.08303633274437
19,17.192938020640963
20,65.445882656103
21,14.143007387833292
22,8.667673496539189
23,6.563101855604022
24,4.278083897048693
25,9.417972360120816
26,1.5645577127658818
27,0.7802743555840246
