AnimalID,TotalNeurons,CSp,Freeze,Both,CSp_Fraction,Freeze_Fraction,Both_Fraction,Recording_Fraction
ZZ087,14,3,1,0,0.214285714285714,0.0714285714285714,0,1
ZZ106,16,6,7,4,0.375,0.4375,0.25,1
ZZ184,8,5,3,2,0.625,0.375,0.25,1
ZZ185,16,5,7,4,0.3125,0.4375,0.25,1
ZZ186,12,5,2,1,0.416666666666667,0.166666666666667,0.0833333333333333,1
ZZ206,15,6,3,1,0.4,0.2,0.0666666666666667,1
TOTAL,81,30,23,12,0.37037037037037,0.283950617283951,0.148148148148148,6
