AnimalID,TotalNeurons,CSp,Freeze,Both,CSp_Fraction,Freeze_Fraction,Both_Fraction,Recording_Fraction
ZZ188,82,7,22,1,0.0853658536585366,0.268292682926829,0.0121951219512195,1
ZZ208,58,15,24,10,0.258620689655172,0.413793103448276,0.172413793103448,1
ZZ227,37,4,21,1,0.108108108108108,0.567567567567568,0.027027027027027,1
ZZF11,58,4,0,0,0.0689655172413793,0,0,1
ZZM7,142,12,14,3,0.0845070422535211,0.0985915492957746,0.0211267605633803,1
ZZM8,105,6,24,1,0.0571428571428571,0.228571428571429,0.00952380952380952,1
TOTAL,482,48,105,16,0.0995850622406639,0.217842323651452,0.033195020746888,6
