AnimalID,TotalNeurons,CSp,Freeze,Both,CSp_Fraction,Freeze_Fraction,Both_Fraction,Recording_Fraction
ZZ188,51,9,13,6,0.176470588235294,0.254901960784314,0.117647058823529,1
ZZ208,52,12,10,4,0.230769230769231,0.192307692307692,0.0769230769230769,1
ZZ227,37,3,15,2,0.0810810810810811,0.405405405405405,0.0540540540540541,1
ZZF11,81,5,22,4,0.0617283950617284,0.271604938271605,0.0493827160493827,1
ZZM7,137,10,5,1,0.072992700729927,0.0364963503649635,0.0072992700729927,1
ZZM8,82,5,27,1,0.0609756097560976,0.329268292682927,0.0121951219512195,1
TOTAL,440,44,92,18,0.1,0.209090909090909,0.0409090909090909,6
