AnimalID,TotalNeurons,CSp,Freeze,Both,CSp_Fraction,Freeze_Fraction,Both_Fraction,Recording_Fraction
ZZ087,21,0,1,0,0,0.0476190476190476,0,1
ZZ106,28,5,7,2,0.178571428571429,0.25,0.0714285714285714,1
ZZ184,18,6,11,6,0.333333333333333,0.611111111111111,0.333333333333333,1
ZZ185,16,3,10,3,0.1875,0.625,0.1875,1
ZZ186,18,2,9,2,0.111111111111111,0.5,0.111111111111111,1
ZZ206,14,5,1,1,0.357142857142857,0.0714285714285714,0.0714285714285714,1
TOTAL,115,21,39,14,0.182608695652174,0.339130434782609,0.121739130434783,6
