subject,ZZ206_D0_CSp_n_excited,ZZ206_D0_CSp_n_suppressed,ZZ206_D0_CSp_n_combined,ZZ206_D0_CSp_offset_n_excited,ZZ206_D0_CSp_offset_n_suppressed,ZZ206_D0_CSp_offset_n_combined,ZZ206_D0_CSp_onset_n_excited,ZZ206_D0_CSp_onset_n_suppressed,ZZ206_D0_CSp_onset_n_combined,ZZ206_D0_freeze_n_excited,ZZ206_D0_freeze_n_suppressed,ZZ206_D0_freeze_n_combined,ZZ206_D0_nontone_freeze_n_excited,ZZ206_D0_nontone_freeze_n_suppressed,ZZ206_D0_nontone_freeze_n_combined,ZZ206_D1_CSp_n_excited,ZZ206_D1_CSp_n_suppressed,ZZ206_D1_CSp_n_combined,ZZ206_D1_CSp_offset_n_excited,ZZ206_D1_CSp_offset_n_suppressed,ZZ206_D1_CSp_offset_n_combined,ZZ206_D1_CSp_onset_n_excited,ZZ206_D1_CSp_onset_n_suppressed,ZZ206_D1_CSp_onset_n_combined,ZZ206_D1_freeze_n_excited,ZZ206_D1_freeze_n_suppressed,ZZ206_D1_freeze_n_combined,ZZ206_D1_nontone_freeze_n_excited,ZZ206_D1_nontone_freeze_n_suppressed,ZZ206_D1_nontone_freeze_n_combined,ZZ206_D28_CSp_n_excited,ZZ206_D28_CSp_n_suppressed,ZZ206_D28_CSp_n_combined,ZZ206_D28_CSp_offset_n_excited,ZZ206_D28_CSp_offset_n_suppressed,ZZ206_D28_CSp_offset_n_combined,ZZ206_D28_CSp_onset_n_excited,ZZ206_D28_CSp_onset_n_suppressed,ZZ206_D28_CSp_onset_n_combined,ZZ206_D28_freeze_n_excited,ZZ206_D28_freeze_n_suppressed,ZZ206_D28_freeze_n_combined,ZZ206_D28_nontone_freeze_n_excited,ZZ206_D28_nontone_freeze_n_suppressed,ZZ206_D28_nontone_freeze_n_combined,ZZ206_hab_CSp_n_excited,ZZ206_hab_CSp_n_suppressed,ZZ206_hab_CSp_n_combined,ZZ206_hab_CSp_offset_n_excited,ZZ206_hab_CSp_offset_n_suppressed,ZZ206_hab_CSp_offset_n_combined,ZZ206_hab_CSp_onset_n_excited,ZZ206_hab_CSp_onset_n_suppressed,ZZ206_hab_CSp_onset_n_combined,ZZ206_hab_freeze_n_excited,ZZ206_hab_freeze_n_suppressed,ZZ206_hab_freeze_n_combined,ZZ206_hab_nontone_freeze_n_excited,ZZ206_hab_nontone_freeze_n_suppressed,ZZ206_hab_nontone_freeze_n_combined
ZZ087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZZ106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZZ184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZZ185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZZ206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
