Trial,MSE
1,26.972614195706512
2,15.483567334391886
3,25.28645942377525
4,0.3251669220053819
5,1.089558675485818
6,2.338653405517727
7,12.914222016420803
8,0.29296082193093065
9,0.6431588165269113
10,0.49720983680627917
11,1.3183718459311902
12,0.7110562836600858
13,4.198764049141995
14,0.524876405974055
15,8.987061546799454
16,0.17572444610973384
17,0.2124685418638846
18,0.49886913082229944
19,3.0230992223269753
20,17.526495858612236
21,0.06600884403495837
22,8.50581110670505
23,0.3764852931905672
24,3.3734606970236367
25,25.27025404889583
26,15.08240886856082
27,0.18643693146531606
