Trial,MSE
1,0.9589414754247023
2,0.011733144258406322
3,0.14728150849520966
4,0.36944157436756353
5,0.01415571072447908
6,0.03071180651581212
7,0.10065280115355874
8,0.19251873727984428
9,0.1902549653784894
10,51.436251355776434
11,10.228377660609036
12,9.448519292016986
13,4.849117272031493
14,5.442569092491473
15,0.024406895373711275
16,2.193893943660001
17,11.466680161267558
18,0.8490905412733626
19,2.8108016088705865
20,3.844716227616814
21,0.06852907561210415
22,0.21950120254926211
23,0.8988776179383466
24,0.08518217336747241
25,0.321435846803112
26,0.44549307842870384
27,3.322317357532114
