Trial,MSE,NRMSE,R2
1,0.9589414754247023,0.3111484956943829,-1.9538324272889946
2,0.011733144258406322,0.04733825236932722,0.921418547675634
3,0.14728150849520966,0.09380520548956262,0.5747609670985221
4,0.36944157436756353,0.30618111093358863,-1.8347823162557053
5,0.01415571072447908,0.03745547950330759,0.9372800269869133
6,0.03071180651581212,0.06487831479094047,0.8587621583635784
7,0.10065280115355874,0.09632157611586045,0.3298865752223714
8,0.19251873727984428,0.09391803437588722,0.7022442067407217
9,0.1902549653784894,0.20713491577324877,-1.0652560354308007
10,51.436251355776434,0.3798072127640471,-0.8456498010134268
11,10.228377660609036,0.2714515760644093,-0.651182572118135
12,9.448519292016986,0.28753029047314016,-1.0127367166034928
13,4.849117272031493,0.1702700424492518,-0.395461393727097
14,5.442569092491473,0.2879865049489525,-0.9564226722080666
15,0.024406895373711275,0.045222497866377234,0.9311238260856247
16,2.193893943660001,0.39620682408077385,-2.8438741510595147
17,11.466680161267558,0.3483771923264039,-2.1159783438577993
18,0.8490905412733626,0.14543793509259476,0.4636124143284388
19,2.8108016088705865,0.1495501167604118,0.4626239606476087
20,3.844716227616814,0.23922888192252048,-0.5939848649089476
21,0.06852907561210415,0.03894672807845469,0.9054670967171607
22,0.21950120254926211,0.08435855324782228,0.7738710520178808
23,0.8988776179383466,0.1920530079047747,-0.2227469491871763
24,0.08518217336747241,0.07003234617583558,0.8545791883674041
25,0.321435846803112,0.18228232376598316,0.1037809785527215
26,0.44549307842870384,0.202089632504339,-0.20563509910074718
27,3.322317357532114,0.11107181645788905,0.6725958511016112
