Trial,MSE
1,5.0755252751791895
2,11.633629852399531
3,3.1382588707717094
4,13.69999939222577
5,28.764157998306537
6,0.7865948838448635
7,1.6082397839650333
8,5.145169718896858
9,5.220806471915777
10,3.2626014588041805
11,1.5848707153415849
12,0.09060463007644894
13,0.1790654366236386
14,0.037543653505359674
15,0.04242413871152787
16,0.8708714612544604
17,0.10404460898136561
18,0.03143279157053599
19,1.9764001093537136
20,9.055710401619342
21,57.139434197217966
22,1.3155556119768428
23,0.8815548435464216
24,0.02709788224016329
25,8.852391283187126
26,1.0418967378334225
27,0.29060685840495853
