Trial,MSE
1,21.658563791959608
2,25.881341170775695
3,80.83846228622606
4,23.108086883443324
5,3.4265512849635456
6,302.67192019568876
7,12.205628607282584
8,14.483919182169634
9,18.316748046704564
10,3.0502857377396
11,41.67811443005057
12,6.806797457915635
13,33.65834283239409
14,0.9668383304231881
15,6.605952105116355
16,116.34283518837074
17,6.097722865027569
18,1.9684921499775212
19,15.419119144171995
20,1.9990119353907236
21,16.92525919058246
22,0.8217824281868044
23,15.784533813443971
24,32.93513961281863
25,2.1811379031302924
26,1.7001345050026784
27,9.646729345452508
