Trial,MSE,NRMSE,R2
1,20.04169019133084,0.3345923600925819,-0.3097077900652978
2,6.529953829721499,0.15905082352599684,0.632309466490314
3,5.807994509683372,0.25774419403560234,0.019180605181566723
4,3.481427329310258,0.22096398906332648,0.2511861302991073
5,6.7152932776459355,0.22804229718055527,0.3160317012290269
6,2.2042033093362545,0.18524491209059232,0.39026955456183765
7,17.90922091397341,0.2854579501062504,-0.8795730806618534
8,3.973084283918389,0.2832449907815437,-0.12152969459938956
9,4.685789904102013,0.3703325874943731,-0.4707851203225146
10,1.6861146416250066,0.18992640501368074,0.41325211027983066
11,7.393147483319846,0.28405677373466315,-0.28933647892057834
12,2.4076630982563776,0.24756375804331734,0.009801893627519043
