Trial,MSE
1,5.828912098988458
2,2.365796897857578
3,4.489479177650938
4,1.1503229127280161
5,2.4650578367285987
6,1.184313974928113
7,6.0459539099155775
8,1.3228993401041225
9,0.3611999492812667
10,2.1925744168093457
11,0.26843357286721825
12,0.6597192526737872
13,0.04387757236444962
14,0.11192945748555337
15,0.11417898225781822
16,0.013020502693033235
17,0.5162138497987846
18,0.48824770886435825
19,1.7124989442569043
20,0.021993880869695115
21,1.1792446823235685
22,0.19980088393208875
23,0.097048895551927
24,0.5117532161340365
25,0.4352202202827257
26,0.08772174074309305
27,0.08652106203413006
