Trial,MSE,NRMSE,R2
1,5.828912098988458,0.20767138283037848,0.3960944140634274
2,2.365796897857578,0.15670382400483718,0.6208785522874045
3,4.489479177650938,0.13677597739888772,0.6485565031174939
4,1.1503229127280161,0.2707228013766477,-0.5229115895798944
5,2.4650578367285987,0.16431332422887482,-0.31055173533675906
6,1.184313974928113,0.16674709637492774,0.018120850888011186
7,6.0459539099155775,0.22403421277913999,-0.10730698105516367
8,1.3228993401041225,0.3741002947911333,-2.8641083293277854
9,0.3611999492812667,0.08138166300566664,0.5746859344669134
10,2.1925744168093457,0.16236047237992074,0.2410711262924473
11,0.26843357286721825,0.1168910298058508,0.6409680302081329
12,0.6597192526737872,0.21450302755356312,-0.01631417202373653
13,0.04387757236444962,0.044426151346077185,0.8970247295471057
14,0.11192945748555337,0.11663111768872593,0.5755708066248011
15,0.11417898225781822,0.05037980721042937,0.9344297619969587
16,0.013020502693033235,0.030519866624083222,0.9624892444361488
17,0.5162138497987846,0.18872739621808515,-0.3996065476477215
18,0.48824770886435825,0.19069568888528926,0.013983170701633685
19,1.7124989442569043,0.29175888136178646,-0.9776139422447179
20,0.021993880869695115,0.027184957374674027,0.968439237758606
21,1.1792446823235685,0.17605058088883757,0.40033589462367436
22,0.19980088393208875,0.06669429395189967,0.8841277713849675
23,0.097048895551927,0.09580330033062581,0.6856113046321783
24,0.5117532161340365,0.10775341759296955,0.6365781449257456
25,0.4352202202827257,0.17605858725757145,0.13639190130753243
26,0.08772174074309305,0.06968524730741085,0.8455771843845377
27,0.08652106203413006,0.12181995347200417,0.5797316860550851
