Trial,MSE,Subject
2,0.011733144258406322,DP121_allTrial_signal.csv
3,0.14728150849520966,DP121_allTrial_signal.csv
4,0.36944157436756353,DP121_allTrial_signal.csv
5,0.01415571072447908,DP121_allTrial_signal.csv
6,0.03071180651581212,DP121_allTrial_signal.csv
7,0.10065280115355874,DP121_allTrial_signal.csv
8,0.19251873727984428,DP121_allTrial_signal.csv
9,0.1902549653784894,DP121_allTrial_signal.csv
10,51.436251355776434,DP121_allTrial_signal.csv
11,10.228377660609036,DP121_allTrial_signal.csv
12,9.448519292016986,DP121_allTrial_signal.csv
13,4.849117272031493,DP121_allTrial_signal.csv
14,5.442569092491473,DP121_allTrial_signal.csv
15,0.024406895373711275,DP121_allTrial_signal.csv
16,2.193893943660001,DP121_allTrial_signal.csv
17,11.466680161267558,DP121_allTrial_signal.csv
18,0.8490905412733626,DP121_allTrial_signal.csv
19,2.8108016088705865,DP121_allTrial_signal.csv
20,3.844716227616814,DP121_allTrial_signal.csv
21,0.06852907561210415,DP121_allTrial_signal.csv
22,0.21950120254926211,DP121_allTrial_signal.csv
23,0.8988776179383466,DP121_allTrial_signal.csv
24,0.08518217336747241,DP121_allTrial_signal.csv
25,0.321435846803112,DP121_allTrial_signal.csv
26,0.44549307842870384,DP121_allTrial_signal.csv
27,3.322317357532114,DP121_allTrial_signal.csv
