Trial,MSE,NRMSE,R2,Subject
1,6.234765922268735,0.13214218880529913,0.7467736199699738,DP116_allTrial_signal.csv
2,1.1362809647356853,0.11779326983074286,0.7633027650935715,DP116_allTrial_signal.csv
3,21.705265795690504,0.22737016001526636,0.11330032345703445,DP116_allTrial_signal.csv
4,0.14912813136882253,0.06912000140242305,0.9017471459800722,DP116_allTrial_signal.csv
5,4.374945178870598,0.26163505576187657,-0.9180684285839509,DP116_allTrial_signal.csv
6,24.36904952384277,0.17631125230474806,0.5501838766881073,DP116_allTrial_signal.csv
7,0.9815362004582794,0.21005214423457463,-0.4099180741763562,DP116_allTrial_signal.csv
8,1.5255263348095875,0.2078787676735997,-0.04502034382474451,DP116_allTrial_signal.csv
9,1.7041219862945283,0.16112296251322733,0.340354114610413,DP116_allTrial_signal.csv
10,7.093652852184704,0.4728656049352456,-3.274507178664357,DP116_allTrial_signal.csv
11,17.65346678534906,0.20957836924366624,0.20266185579073592,DP116_allTrial_signal.csv
12,27.98553364890269,0.45673361175810456,-2.753749645761723,DP116_allTrial_signal.csv
13,37.95519229602588,0.5854133168094239,-4.084756247211947,DP116_allTrial_signal.csv
14,28.659847282072242,0.5105058547843238,-3.2181884567946675,DP116_allTrial_signal.csv
15,5.450935934379852,0.31370704313573283,-1.4340335867531002,DP116_allTrial_signal.csv
16,55.966805389843785,0.496239780317001,-3.9959127914282746,DP116_allTrial_signal.csv
17,34.077151362308705,0.5786626983574007,-3.3610181908186902,DP116_allTrial_signal.csv
18,40.08303633274437,0.3637937219708048,-2.249993274559307,DP116_allTrial_signal.csv
19,17.192938020640963,0.3861973097492319,-2.499729583669756,DP116_allTrial_signal.csv
20,65.445882656103,0.46126473658869105,-2.483871493570145,DP116_allTrial_signal.csv
21,14.143007387833292,0.5664779686855921,-2.8866899761631326,DP116_allTrial_signal.csv
22,8.667673496539189,0.4095685001673752,-2.4741953110670347,DP116_allTrial_signal.csv
23,6.563101855604022,0.5153673344975853,-3.7330045437859507,DP116_allTrial_signal.csv
24,4.278083897048693,0.23921701688919522,-0.07659028797749401,DP116_allTrial_signal.csv
25,9.417972360120816,0.5594620636116548,-6.946864667661348,DP116_allTrial_signal.csv
26,1.5645577127658818,0.2778151466334862,-1.2380109827790888,DP116_allTrial_signal.csv
27,0.7802743555840246,0.1395855508819577,0.6097186988658558,DP116_allTrial_signal.csv
1,26.972614195706512,0.21388850363999318,0.3583683877328423,DP117_allTrial_signal.csv
2,15.483567334391886,0.23183634088325736,0.04222114843026259,DP117_allTrial_signal.csv
3,25.28645942377525,0.3547467447851191,-2.166608105707869,DP117_allTrial_signal.csv
4,0.3251669220053819,0.0869058011090215,0.77381151478131,DP117_allTrial_signal.csv
5,1.089558675485818,0.1441370272384949,0.34973217212195407,DP117_allTrial_signal.csv
6,2.338653405517727,0.3660740102795201,-1.916499825936063,DP117_allTrial_signal.csv
7,12.914222016420803,0.18426605235787272,0.4174075290341458,DP117_allTrial_signal.csv
8,0.29296082193093065,0.03818620321856107,0.8978087496554901,DP117_allTrial_signal.csv
9,0.6431588165269113,0.15236464341943873,0.425656711126533,DP117_allTrial_signal.csv
10,0.49720983680627917,0.16411234501631858,0.27595554475172634,DP117_allTrial_signal.csv
11,1.3183718459311902,0.14140306898946692,0.42461774610061254,DP117_allTrial_signal.csv
12,0.7110562836600858,0.21471183748426406,-0.4205946226377313,DP117_allTrial_signal.csv
13,4.198764049141995,0.24282941191470636,0.17377655699934147,DP117_allTrial_signal.csv
14,0.524876405974055,0.08855898754778968,0.7105462757675651,DP117_allTrial_signal.csv
15,8.987061546799454,0.4009726310507001,-0.8361957881272837,DP117_allTrial_signal.csv
16,0.17572444610973384,0.11996818116121002,0.6453068849411825,DP117_allTrial_signal.csv
17,0.2124685418638846,0.053204383486756886,0.9157803463030055,DP117_allTrial_signal.csv
18,0.49886913082229944,0.11510856176681007,0.6988082189148446,DP117_allTrial_signal.csv
19,3.0230992223269753,0.13577021567788286,0.48109507843856514,DP117_allTrial_signal.csv
20,17.526495858612236,0.4580506334380917,-2.1634520625231684,DP117_allTrial_signal.csv
21,0.06600884403495837,0.024305846991457637,0.9780867451496763,DP117_allTrial_signal.csv
22,8.50581110670505,0.17210927028301937,0.5701270796488755,DP117_allTrial_signal.csv
23,0.3764852931905672,0.14002085799640493,0.543264679675888,DP117_allTrial_signal.csv
24,3.3734606970236367,0.14321487990359943,0.5667326503209005,DP117_allTrial_signal.csv
25,25.27025404889583,0.4465548920524423,-1.6893964465148934,DP117_allTrial_signal.csv
26,15.08240886856082,0.15106202596736437,0.4952103595610896,DP117_allTrial_signal.csv
27,0.18643693146531606,0.07961955879975398,0.8706673049504068,DP117_allTrial_signal.csv
1,5.0755252751791895,0.12880606329964134,0.7157491783164043,DP118_allTrial_signal.csv
2,11.633629852399531,0.21092149231935178,0.11337539978359634,DP118_allTrial_signal.csv
3,3.1382588707717094,0.139896784487056,0.6244917249217391,DP118_allTrial_signal.csv
4,13.69999939222577,0.24793234849740145,-0.4852112956288823,DP118_allTrial_signal.csv
5,28.764157998306537,0.20664654000825491,0.1505629565100406,DP118_allTrial_signal.csv
6,0.7865948838448635,0.1286606816361701,0.6347401436657263,DP118_allTrial_signal.csv
7,1.6082397839650333,0.18087600287461944,-0.2241405557019398,DP118_allTrial_signal.csv
8,5.145169718896858,0.11375283128899748,0.7405086747320786,DP118_allTrial_signal.csv
9,5.220806471915777,0.26782262824061137,-0.7024027656154161,DP118_allTrial_signal.csv
