Time Coeff,Baseline,Gamma,Alpha
0.01992718228138567,6.071390836072085,0.7772321302130949,0.20481157059852878
0.012871319188201391,6.226678571109032,0.8833293582806874,0.0
0.015979814672632736,1.7371634123455517,0.4440826987357642,0.3547557201913943
0.011048918622307394,2.520040535810363,0.5106461923338608,0.27627190646456934
0.00692817791672126,5.485358811260505,0.7782402399972617,0.01895209536732092
0.011371113269197186,5.714156847412392,0.8229178344818854,0.020348681073910257
0.010640467852073244,4.90371120011498,0.738272459051754,0.07833071981485941
0.006249981402588278,4.614315340284902,0.6918543818721744,0.08103312282061982
0.0059217855590776355,2.322295977386802,0.4813276734964907,0.2860329495981705
0.012292189480914673,1.7981959828095864,0.43835043452420847,0.3523691539553997
0.009314171295431009,5.473386372492549,0.7887489982720451,0.028438871795129602
0.003730464755814412,4.178896142241679,0.591076208539744,0.16644767105933286
