camNum	frameNum	sysClock	buffer
0	271	9050	1
0	272	9082	1
0	273	9136	1
0	274	9146	1
0	275	9178	1
0	276	9210	1
0	277	9242	1
0	278	9274	1
0	279	9306	1
0	280	9354	1
0	281	9386	1
0	282	9418	1
0	283	9450	1
0	284	9482	1
0	285	9514	1
0	286	9546	1
0	287	9578	1
0	288	9610	1
0	289	9642	1
0	290	9690	1
0	291	9722	1
0	292	9754	1
0	293	9786	1
0	294	9818	1
0	295	9850	1
0	296	9882	1
0	297	9914	1
0	298	9946	1
0	299	9978	1
0	300	10010	1
0	301	10058	1
0	302	10090	1
0	303	10122	1
0	304	10154	1
0	305	10186	1
0	306	10218	1
0	307	10250	1
0	308	10282	1
0	309	10314	1
0	310	10346	1
0	311	10394	1
0	312	10426	1
0	313	10458	1
0	314	10490	1
0	315	10522	1
0	316	10554	1
0	317	10586	1
0	318	10618	1
0	319	10650	1
0	320	10682	1
0	321	10730	1
0	322	10762	1
0	323	10794	1
0	324	10826	1
0	325	10858	1
0	326	10890	1
0	327	10922	1
0	328	10954	1
0	329	10986	1
0	330	11018	1
0	331	11066	1
0	332	11098	1
0	333	11130	1
0	334	11162	1
0	335	11194	1
0	336	11226	1
0	337	11258	1
0	338	11290	1
0	339	11322	1
0	340	11354	1
0	341	11402	1
0	342	11434	1
0	343	11466	1
0	344	11498	1
0	345	11530	1
0	346	11562	1
0	347	11594	1
0	348	11626	1
0	349	11658	1
0	350	11690	1
0	351	11738	1
0	352	11770	1
0	353	11802	1
0	354	11834	1
0	355	11866	1
0	356	11898	1
0	357	11930	1
0	358	11962	1
0	359	11994	1
0	360	12026	1
0	361	12058	1
0	362	12106	1
0	363	12138	1
0	364	12170	1
0	365	12202	1
0	366	12234	1
0	367	12266	1
0	368	12298	1
0	369	12330	1
0	370	12362	1
0	371	12394	1
0	372	12442	1
0	373	12474	1
0	374	12506	1
0	375	12538	1
0	376	12570	1
0	377	12602	1
0	378	12634	1
0	379	12666	1
0	380	12698	1
0	381	12730	1
0	382	12778	1
0	383	12810	1
0	384	12842	1
0	385	12874	1
0	386	12906	1
0	387	12938	1
0	388	12970	1
0	389	13002	1
0	390	13034	1
0	391	13066	1
0	392	13114	1
0	393	13146	1
0	394	13178	1
0	395	13210	1
0	396	13242	1
0	397	13274	1
0	398	13306	1
0	399	13338	1
0	400	13370	1
0	401	13402	1
0	402	13450	1
0	403	13482	1
0	404	13514	1
0	405	13546	1
0	406	13578	1
0	407	13610	1
0	408	13642	1
0	409	13674	1
0	410	13706	1
0	411	13738	1
0	412	13770	1
0	413	13818	1
0	414	13850	1
0	415	13882	1
0	416	13914	1
0	417	13946	1
