Trial,MSE
1,3.7715307678292076
2,1.0879569008514451
3,3.4304964459656246
4,18.387081196221576
5,6.474456725853562
6,6.168520012528648
7,1.7655326548365096
8,1.553599132346975
9,0.5779268753735758
10,5.827332990368115
11,15.37920646909599
12,20.55805695984883
13,5.9811463443530375
14,23.163176580394346
15,0.9835771274133766
16,8.856439912708076
17,0.16975070033053127
18,0.06485857299447968
19,1.3654966795622752
20,2.046028074748713
21,2.1972966255381823
22,1.1166530032724298
23,0.39108463923597225
24,5.676337348002342
25,12.190999113033937
26,2.0300640719130856
27,1.5662298863552824
