Time Coeff,Baseline,Gamma,Alpha
0.003013014992151227,-2.4789650416963225,0.9999819092833193,1.0
0.0020551246356524653,-2.7172306117622544,0.7069732055536265,1.0
0.019145015378159824,-14.801980821161584,0.145155033160151,1.0
0.016586956335603684,-7.9509467149006285,0.3227766558603748,1.0
0.004244415611982748,-2.13669979194357,0.7472835885211385,1.0
0.0036218089824542337,-2.5368599642369145,1.0,1.0
-0.003640596358188077,-5.416994430373511,0.1502622472183059,1.0
0.0019381429346261708,-1.8515811444879116,1.0,1.0
0.0019233251708853105,-15.38887524061594,0.057808805867771665,1.0
0.0027446793784714416,1.901827145695925,0.468156432045737,1.0
0.015035397772859553,-2.697140645360779,0.25165465335588066,1.0
0.025897156781412606,-3.6778413955361664,0.010923132309548897,0.8435709615465765
0.0046738733217448515,-2.7037718763323237,0.6933747857743344,1.0
0.03383839097414311,-3.4159385142538623,0.10635973342428186,0.9736783591477917
0.00022881106460667853,0.7526570527462544,0.34664558208672647,0.0
0.0017501663577710411,1.7691265606953057,0.43414355147075573,0.3480324291309559
-0.00040146598568278837,-0.13940307360778723,0.280700579395301,0.3717770225008551
-0.000443564639311859,0.0999246763099451,0.299999999287737,0.4999999935662261
0.0019033743671374903,-2.166806731378989,0.9427323160952243,1.0
-0.0002889403329833727,1.7078913960952165,0.41912374903607574,0.0
0.000664152326034293,0.9059264496477194,0.35959810322221514,0.14470266913574187
-0.0006438932180705891,-0.34493141199393196,0.26426017775650334,0.0
-0.0006432537519922417,-0.08342723793470949,0.27968656739193304,0.2896024489606016
-0.002334068847727461,0.1119478049606444,0.2733880364689102,0.10709891197634729
-0.00364144294377578,-1.0273596736220316,0.4271103567416251,0.5360542150083643
0.0028123288611897356,-2.1235065561851214,0.7287936318532583,1.0
0.000433594635653264,0.7915800049735852,0.3483522446017633,0.0
